14	0	20	0	0	55	17	1	0	0	5	57	26	14	0	0	1	31	12	19	0	0	2	0	10	0	21	2	10	3	13	12	0	1	0	4	14	18	1	0	0	0	0	0	
18	4	35	0	0	56	13	2	1	0	16	60	40	15	0	0	0	34	8	19	0	1	2	0	8	0	28	6	15	6	17	8	2	0	0	9	19	12	0	0	0	0	0	0	
16	2	27	0	0	31	10	2	3	0	4	42	33	12	0	1	0	14	2	15	1	0	2	0	8	0	14	0	9	1	19	6	1	5	0	3	14	9	0	0	0	0	0	0	
17	0	43	1	0	63	28	2	4	0	15	78	53	52	0	0	2	17	7	26	2	2	1	0	15	0	33	18	5	8	18	12	1	3	0	4	26	13	0	0	0	0	0	0	
15	5	54	1	0	47	20	6	0	0	26	67	43	8	0	0	0	24	3	31	4	1	1	0	21	0	40	3	6	1	24	14	2	1	0	5	30	13	0	0	0	0	0	0	
9	0	28	0	0	27	7	1	1	0	5	36	9	16	0	0	0	22	6	16	0	0	1	0	10	0	11	5	5	2	17	5	0	2	0	6	13	3	0	0	0	0	0	0	
16	3	42	2	0	66	20	3	0	0	18	101	30	15	0	0	3	31	23	33	1	0	0	0	13	0	28	6	12	4	11	16	3	5	0	3	26	35	0	0	0	0	0	0	
19	2	40	0	0	57	27	4	0	0	8	96	35	13	0	0	1	42	7	25	2	2	1	0	24	0	26	6	8	5	39	13	0	1	0	5	36	11	0	0	0	0	0	0	
22	1	57	1	0	40	28	4	0	0	13	79	23	16	0	1	2	23	8	30	0	2	0	0	14	0	31	0	6	5	16	19	3	6	0	1	29	16	0	0	0	0	0	0	
25	0	53	2	0	55	36	0	0	0	6	67	32	12	0	0	1	38	5	31	2	0	5	0	27	0	36	9	9	5	31	22	4	1	0	5	24	14	0	0	0	0	0	0	
10	1	28	0	0	27	12	2	0	0	8	56	27	14	1	0	1	18	6	24	1	0	1	0	14	0	22	2	11	10	18	10	2	3	0	1	21	13	0	0	0	0	0	0	
13	0	47	4	0	44	27	3	2	0	8	65	30	14	0	0	0	19	1	29	0	0	5	0	5	0	20	1	9	1	32	13	1	0	0	8	25	0	0	0	0	0	0	0	
12	0	19	0	0	20	10	1	0	0	7	34	10	3	0	0	0	28	2	7	0	0	1	0	1	0	12	6	3	1	16	4	1	1	0	5	6	0	0	0	0	0	0	0	
17	3	20	0	0	31	28	0	0	0	4	55	33	4	0	0	0	13	13	14	0	0	2	0	14	0	20	1	2	7	16	7	2	0	0	1	25	0	0	0	0	0	0	0	
8	0	10	2	0	20	11	0	1	0	4	28	27	5	0	0	0	10	0	7	0	0	2	0	8	0	11	0	4	1	14	3	1	0	0	0	13	7	0	0	0	0	0	0	
20	1	43	0	0	60	27	4	0	0	22	99	52	19	0	0	0	22	7	17	4	0	4	0	25	0	47	10	7	7	21	9	4	1	0	2	34	23	0	0	0	0	0	0	
14	1	27	2	0	46	10	2	1	0	20	50	15	9	0	0	0	31	8	29	1	0	3	0	6	0	32	0	7	3	16	7	2	2	0	3	17	18	0	0	0	0	0	0	
24	1	26	3	0	37	14	0	0	0	12	52	22	10	1	0	0	33	11	40	3	0	1	0	8	0	26	1	12	3	23	6	3	0	0	3	15	26	0	0	0	0	0	0	
1	0	8	0	0	3	4	0	0	0	0	24	4	4	0	0	0	3	1	1	0	0	0	0	3	0	2	1	1	1	3	2	0	0	0	0	6	0	0	0	0	0	0	0	
8	1	9	0	0	15	13	0	0	0	8	21	27	8	0	0	0	12	0	5	0	0	3	0	4	0	12	0	0	0	10	3	0	0	0	1	12	3	0	0	2	0	0	0	
11	1	28	0	0	42	17	3	2	0	9	55	28	9	0	0	0	26	7	36	1	0	4	0	15	0	23	3	9	14	19	3	1	1	0	1	19	14	0	0	0	0	0	0	
3	0	7	0	0	8	3	0	0	0	0	13	6	3	0	0	0	0	4	0	0	0	1	0	2	0	3	0	1	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	
30	2	44	3	0	75	14	6	3	0	15	61	48	28	0	0	1	44	9	21	6	0	1	0	18	0	36	3	10	5	33	9	1	3	0	1	28	11	0	0	0	0	0	0	
18	0	42	1	0	68	27	6	1	0	23	111	43	29	1	0	1	43	9	34	0	0	4	0	20	0	39	6	6	4	20	15	1	1	1	1	38	42	0	0	0	0	0	0	
14	1	28	0	0	32	15	0	0	0	10	55	23	8	0	0	0	14	8	9	0	0	3	0	15	0	24	0	4	4	15	9	0	0	0	5	16	10	0	0	0	0	0	0	
22	1	22	1	0	40	13	3	0	0	10	53	36	24	0	0	2	32	5	15	2	0	1	0	11	0	21	7	4	2	19	11	1	1	0	3	20	23	0	0	0	0	0	0	
4	0	7	2	0	14	5	1	1	0	6	12	18	5	0	0	0	10	0	8	0	0	1	0	2	0	9	0	0	2	7	7	0	0	0	1	7	6	0	0	0	0	0	0	
15	0	20	0	0	53	22	2	0	0	10	53	40	10	0	0	0	24	10	18	2	0	1	0	9	0	26	2	13	5	21	4	0	1	0	0	28	16	0	0	0	0	0	1	
